Player,Position,Age,Prev_Team,Prev_AAV,Market_Value,Arm,Type,AAV_cost
Trevor Richards,RP,32.5,ARI,"$850,000 ","$828,851 ",R,UFA,850000.0
Jorge Alcala,RP,30.2,STL,"$845,000 ",,,,845000.0
Jake Cousins,RP,31.3,NYY,"$841,050 ",,,,841050.0
Danny Young,RP,31.4,NYM,"$825,000 ",,,,825000.0
Albert Suarez,RP,36.1,BAL,"$825,000 ",,,,825000.0
Dauri Moreta,RP,29.6,PIT,"$785,000 ",,,,785000.0
Christopher Morel,LF,26.4,TB,"$771,800 ",,,,771800.0
Gregory Santos,RP,26.2,SEA,"$771,100 ",,,,771100.0
Max Kranick,RP,28.3,NYM,"$771,000 ",,,,771000.0
J.J. Bleday,CF,28.0,ATH,"$770,000 ",,,,770000.0
Cam Booser,RP,33.5,CHW,"$768,200 ",,,,768200.0
Michael Toglia,1B,27.2,COL,"$765,000 ",,,,765000.0
Luis Medina,SP,26.5,ATH,"$765,000 ",,,,765000.0
Sean Reynolds,RP,27.6,SD,"$763,100 ",,,,763100.0
Omar Cruz,RP,26.8,SD,"$760,000 ",,,,760000.0
Ronny Simon,2B,25.6,PIT,"$760,000 ",,,,760000.0
Daniel Robert,RP,31.2,PHI,"$760,000 ",,,,760000.0
Michael Mercado,RP,26.6,PHI,"$760,000 ",,,,760000.0
Sebastian Rivero,C,27.0,LAA,"$760,000 ",,,,760000.0
Nick Frasso,SP,27.1,LAD,"$760,000 ",,,,760000.0
Jack Little,RP,27.8,DET,"$760,000 ",,,,760000.0
Sean Guenther,RP,29.8,DET,"$760,000 ",,,,760000.0
Dugan Darnell,RP,28.3,DET,"$760,000 ",,,,760000.0
Nic Enright,RP,28.8,CLE,"$760,000 ",,,,760000.0
Will Brennan,RF,27.8,CLE,"$760,000 ",,,,760000.0
Will Banfield,C,26.0,CIN,"$760,000 ",,,,760000.0
Roddery Munoz,SP,25.6,CIN,"$760,000 ",,,,760000.0
Tim Elko,1B,26.8,CHW,"$760,000 ",,,,760000.0
Carson Ragsdale,SP,27.5,ATL,"$760,000 ",,,,760000.0
Tommy Henry,SP,28.2,ARI,"$760,000 ",,,,760000.0
Taylor Rashi,RP,29.8,ARI,"$760,000 ",,,,760000.0
Luis Garcia,RP,38.8,LAA,"$760,000 ",,R,UFA,760000.0
C.J. Edwards,RP,34.2,TEX,"$760,000 ",,R,RFA,760000.0
Dylan Moore,2B,33.2,TEX,"$760,000 ","$2,634,773 ",R,UFA,760000.0
Josh Winckowski,RP,27.3,BOS,"$760,000 ",,,,760000.0
Carlos Santana,1B,39.6,CHC,"$760,000 ","$6,048,900 ",S,UFA,760000.0
Erick Fedde,SP,32.8,MIL,"$760,000 ","$9,362,558 ",R,UFA,760000.0
Tyler Alexander,RP,31.3,CHW,"$760,000 ","$2,106,255 ",L,UFA,760000.0
Orlando Arcia,SS,31.2,COL,"$760,000 ","$1,650,520 ",R,UFA,760000.0
Chris Taylor,3B,35.2,LAA,"$760,000 ","$5,411,096 ",R,UFA,760000.0
Jose Castillo,RP,29.8,NYM,"$760,000 ",,,,760000.0
Michael Arias,RP,24.0,NYY,"$123,900 ",,,,123900.0
Tyler Mattison,RP,26.2,DET,"$62,000 ",,,,62000.0
Sem Robberse,SP,24.1,STL,$0 ,,,,0.0
Luis Urias,2B,28.4,MIL,,"$3,432,498 ",R,UFA,3432498.0
Kevin Newman,SS,32.2,DET,,,R,UFA,
Foster Griffin,RP,30.2,OS,,,L,UFA,
Baek Ho Kang,1B,26.2,KOR,,,L,UFA,
Kazuma Okamoto,3B,29.3,JPN,,,R,UFA,
Munetaka Murakami,3B,25.8,JPN,,,L,UFA,
Hector Neris,RP,36.4,HOU,,"$1,831,894 ",R,UFA,1831894.0
Anthony DeSclafani,RP,35.6,ARI,,,R,UFA,
Scott Alexander,RP,36.3,SF,,,L,UFA,
Alex Verdugo,LF,29.5,ATL,,,L,UFA,
Tim Anderson,SS,32.4,LAA,,,,,
Carlos Carrasco,SP,38.7,ATL,,"$1,054,550 ",R,UFA,1054550.0
Mark Canha,1B,36.8,KC,,"$1,208,004 ",R,UFA,1208004.0
Kevin Pillar,CF,36.8,TEX,,,R,UFA,
Jon Berti,2B,35.8,CHC,,,R,UFA,
Jorge López,RP,32.8,WSH,,,R,UFA,
Giovanny Urshela,3B,34.1,ATH,,,R,UFA,
Garrett Hampson,SS,31.1,,,,R,UFA,
Marcus Stroman,SP,34.5,NYY,,,R,UFA,
Hunter Renfroe,RF,33.8,KC,,,R,UFA,
Chad Green,RP,34.5,TOR,,,R,UFA,
D.J. LeMahieu,2B,37.3,NYY,,,R,UFA,
Austin Barnes,C,35.8,LAD,,,R,UFA,
Ryan Pressly,RP,36.9,CHC,,,R,UFA,
